route_id,zone,population,risk_level,road_capacity,distance_km,avg_speed_kmph,evac_time_min
R16,D,2682,0.47,153,5.5,51.6,17.6
R24,E,831,0.82,124,18.5,27.7,66.9
R80,D,4616,0.32,177,16.7,30.5,118.5
R2,D,934,0.46,248,7.7,40.5,15.7
R92,D,2069,0.13,203,14.7,33.2,53.6
R32,E,4104,0.48,105,24.3,54.4,131.6
R91,D,2670,0.59,327,18.5,39.0,51.7
R84,B,302,0.59,394,4.7,52.0,5.8
R24,E,505,0.38,68,17.3,43.2,41.9
R12,D,4435,0.37,208,21.7,50.9,80.1
R50,E,2921,0.19,75,24.2,33.3,213.4
R35,C,3190,0.41,475,19.6,53.3,36.9
R33,B,3493,0.18,218,6.3,31.0,31.7
R33,D,2966,0.75,72,21.9,41.8,160.9
R61,C,3606,0.92,96,21.0,28.6,209.5
R51,C,1197,0.92,62,2.7,39.0,12.2
R43,E,1385,0.84,266,13.5,32.7,37.7
R12,C,1579,0.61,371,11.3,30.7,31.5
R67,B,970,0.7,243,20.7,58.7,29.6
R65,B,1805,0.34,193,8.1,26.4,35.6
R33,A,3875,0.64,122,18.5,51.5,90.0
R40,B,2255,0.49,205,27.6,59.4,58.5
R74,C,549,0.51,126,24.3,20.8,100.6
R43,B,2192,0.74,468,27.8,48.0,51.0
R44,E,3739,0.34,218,29.4,30.1,159.1
R29,A,2153,0.37,336,2.3,21.6,10.5
R13,C,3154,0.89,134,19.4,36.1,108.1
R12,A,1803,0.15,465,13.6,57.4,19.7
R95,C,3685,0.51,231,26.1,20.5,198.3
R46,E,3871,0.88,364,9.1,43.5,25.9
R2,A,4092,0.62,346,29.5,40.1,96.3
R35,D,3726,0.56,161,19.2,54.9,69.5
R87,C,343,0.31,499,24.2,23.4,66.3
R81,D,3912,0.39,279,4.4,47.3,13.4
R90,A,2918,0.82,145,7.1,47.2,27.2
R8,D,4978,0.58,487,23.2,46.8,60.1
R93,D,3463,0.54,217,2.6,57.7,7.0
R26,A,1588,0.18,427,24.9,52.9,38.7
R74,E,3242,0.11,205,2.4,21.7,17.1
R90,D,519,0.92,470,20.4,38.8,35.0
R34,D,2225,0.42,154,12.2,35.9,49.8
R7,E,3272,0.61,242,19.1,32.4,83.2
R68,D,3813,0.17,379,21.5,38.1,67.9
R58,D,2748,0.68,488,11.6,35.4,30.7
R75,D,3771,0.89,181,5.0,37.3,24.8
R29,B,3074,0.59,404,4.0,59.2,7.1
R36,E,1290,0.21,431,18.5,23.5,61.4
R89,D,3246,0.59,187,16.6,56.9,47.9
R21,E,2112,0.75,480,22.8,39.2,50.3
R36,C,1103,0.45,380,16.3,44.9,28.1
R10,C,789,0.85,319,13.8,53.2,19.4
R73,D,3856,0.65,87,13.1,34.4,124.1
R24,E,1793,0.86,445,2.7,37.2,6.1
R64,E,3945,0.63,94,11.4,36.4,97.7
R99,E,3191,0.21,450,29.3,35.0,85.8
R49,B,2005,0.36,212,26.5,57.0,54.3
R99,C,3816,0.27,499,11.2,53.2,22.3
R36,E,3640,0.87,380,18.5,24.4,89.1
R82,E,353,0.75,302,25.7,24.3,70.9
R96,B,2875,0.67,218,14.4,37.1,54.0
R24,B,3891,0.36,334,2.5,23.9,13.6
R23,E,915,0.26,323,4.1,44.8,7.0
R62,A,1254,0.74,69,16.3,25.7,107.2
R96,E,2733,0.5,288,29.1,40.9,83.2
R37,E,1929,0.29,319,21.4,20.3,101.5
R12,B,3081,0.62,467,4.0,32.7,12.2
R55,B,949,0.13,482,7.3,47.1,11.1
R13,E,2647,0.38,359,23.6,39.4,62.4
R23,E,4790,0.5,80,25.6,59.1,181.6
R89,E,3578,0.23,363,19.3,55.0,41.8
R99,B,2940,0.94,153,20.0,34.4,101.9
R30,E,4101,0.28,219,2.8,21.8,22.1
R17,E,2861,0.21,235,25.2,53.8,62.3
R62,D,3549,0.27,177,24.1,56.4,77.0
R84,A,670,0.75,259,9.3,52.8,13.3
R89,C,1157,0.46,463,21.8,25.1,65.1
R86,A,683,0.58,330,8.0,59.9,9.7
R13,D,4177,0.12,496,3.1,30.3,11.3
R59,C,2852,0.13,302,7.6,49.0,18.1
R19,E,4634,0.48,68,7.0,56.3,58.3
R49,D,4590,0.79,249,11.5,29.4,66.7
R100,E,3025,0.85,269,13.7,56.3,31.0
R12,B,4334,0.17,185,16.2,32.4,100.3
R61,D,3593,0.56,272,15.3,59.1,36.1
R19,B,4551,0.88,52,9.6,31.3,179.5
R76,D,4288,0.43,285,2.8,58.1,7.2
R9,D,1222,0.81,391,18.9,22.1,67.3
R71,B,3215,0.21,277,13.1,48.4,35.1
R28,C,3250,0.9,450,10.4,41.3,26.0
R78,A,3346,0.74,191,26.3,39.1,111.1
R95,E,1274,0.9,58,22.9,28.9,152.0
R52,D,1530,0.68,239,26.0,48.2,53.1
R83,E,2735,0.41,399,15.9,27.6,58.3
R16,B,2114,0.9,454,5.7,42.1,11.9
R69,E,3234,0.33,214,21.5,30.1,107.6
R99,B,1663,0.38,188,7.8,58.2,15.2
R12,E,4240,0.7,325,14.4,21.1,94.4
R25,A,503,0.75,340,3.8,28.0,9.3
R52,A,460,0.89,102,25.1,29.7,73.6
R85,A,4787,0.27,224,5.5,36.6,28.3
R100,A,1068,0.78,159,27.3,29.3,93.5
R53,A,4048,0.73,252,26.2,39.7,103.2
R23,A,2881,0.15,485,15.0,54.9,26.1
R16,B,1393,0.43,185,22.8,48.5,49.4
R57,D,4800,0.34,53,19.3,43.2,269.6
R39,E,907,0.36,204,24.5,23.6,90.0
R53,A,1840,0.94,221,14.1,47.8,32.4
R42,B,3175,0.65,473,24.0,26.7,90.1
R58,B,3491,0.71,407,14.9,51.5,32.2
R39,B,2137,0.93,96,28.3,30.0,182.6
R14,D,989,0.42,143,15.6,36.7,43.1
R95,E,4059,0.78,477,15.0,34.0,49.0
R5,D,3249,0.47,97,24.0,54.4,115.1
R35,C,2403,0.84,289,25.0,25.1,109.5
R87,B,665,0.25,396,17.5,42.6,28.8
R93,C,3875,0.91,262,7.0,25.7,40.5
R75,A,4850,0.29,485,15.1,48.2,37.6
R18,A,4499,0.38,389,29.1,56.2,67.0
R76,D,4472,0.74,373,23.1,37.4,81.5
R9,E,4625,0.43,188,24.7,39.5,129.8
R74,C,2678,0.62,254,2.9,57.1,6.3
R58,E,1505,0.48,430,15.1,40.8,30.0
R17,D,4139,0.73,122,20.1,39.5,134.1
R7,A,3035,0.29,53,25.2,43.1,236.0
R46,E,3647,0.15,125,3.4,47.6,16.8
R13,E,1975,0.35,378,25.9,24.3,97.4
R40,A,598,0.5,126,17.4,52.8,29.2
R42,C,1256,0.24,353,7.5,37.4,16.3
R9,A,1414,0.4,305,10.9,22.9,41.8
R50,E,2805,0.44,459,9.9,51.4,18.6
R27,C,1774,0.15,151,16.9,35.1,62.8
R66,C,4760,0.6,155,3.4,24.0,34.6
R5,A,4746,0.85,382,6.4,45.4,19.0
R29,E,4026,0.23,88,24.8,55.2,150.3
R37,D,3771,0.61,363,5.7,55.5,12.6
R38,E,3128,0.67,324,8.5,58.3,17.2
R83,B,3150,0.46,137,14.7,54.7,53.2
R8,D,2806,0.7,260,16.5,20.1,102.4
R65,C,4070,0.45,418,23.4,35.2,78.7
R86,D,3264,0.53,126,14.5,52.7,59.3
R17,C,4894,0.11,126,24.1,34.7,203.5
R71,C,1249,0.69,491,19.3,44.1,32.9
R89,D,4903,0.66,77,5.2,44.3,51.9
R45,C,3150,0.13,294,6.4,34.6,23.0
R4,C,465,0.41,115,14.2,56.2,21.3
R36,B,3786,0.93,315,13.1,40.1,43.2
R70,E,2809,0.46,431,22.8,38.6,58.5
R31,E,1219,0.53,254,18.3,59.9,27.1
R19,B,413,0.87,107,12.9,39.7,27.0
R61,D,3804,0.71,250,6.8,27.1,38.0
R54,A,1291,0.59,274,8.4,40.5,18.3
R39,A,4139,0.78,191,18.1,52.6,65.4
R91,A,1558,0.83,430,13.9,51.1,22.2
R74,B,3726,0.49,417,16.4,51.5,36.2
R90,B,814,0.5,133,6.8,48.3,13.6
R19,C,3496,0.43,192,20.6,30.2,115.4
R39,A,4734,0.92,401,25.9,54.5,62.2
R67,D,2884,0.69,82,9.2,55.7,44.8
R45,D,367,0.17,450,15.8,27.8,36.9
R13,A,1896,0.83,201,29.3,25.2,135.6
R92,A,4778,0.51,207,11.3,59.0,38.0
R58,A,318,0.16,495,18.7,54.7,21.8
R20,B,3030,0.57,190,4.5,55.7,12.6
R92,B,3821,0.45,495,19.0,55.5,36.4
R72,B,872,0.85,300,4.5,41.7,8.4
R61,E,2558,0.27,352,28.9,45.9,65.2
R39,D,3202,0.8,161,22.0,41.8,94.4
R1,D,950,0.57,193,24.1,22.0,98.1
R3,C,2887,0.15,499,21.7,49.8,41.3
R77,B,3562,0.93,258,18.5,40.2,65.7
R92,E,1638,0.54,273,14.6,45.9,30.5
R62,E,3934,0.35,92,26.0,40.1,205.3
R63,D,3127,0.5,313,28.8,39.7,87.0
R25,B,2517,0.83,293,16.0,26.9,66.3
R56,C,3839,0.36,52,28.1,31.1,454.4
R33,B,1337,0.26,174,18.3,26.4,73.5
R38,A,4683,0.21,317,17.1,27.8,91.4
R6,B,4278,0.35,133,14.7,58.9,63.1
R58,A,3261,0.76,65,7.9,26.1,109.3
R44,A,3526,0.5,383,2.1,30.8,7.9
R45,C,1398,0.29,108,8.8,43.6,27.8
R32,D,2624,0.24,226,16.3,44.4,47.6
R45,B,1239,0.38,112,12.6,26.2,60.8
R61,A,4016,0.9,495,14.6,51.7,30.7
R47,B,3714,0.39,98,29.5,51.4,164.9
R21,D,1748,0.94,356,11.8,29.5,35.8
R80,D,870,0.51,295,14.7,31.5,36.3
R85,E,3204,0.25,338,5.7,57.5,11.6
R75,D,2805,0.86,335,3.3,53.0,6.9
R36,C,1217,0.49,492,23.7,47.9,37.0
R99,A,2174,0.7,381,18.0,23.3,72.8
R19,E,1978,0.94,64,23.3,36.7,155.8
R20,C,915,0.14,387,6.2,42.4,10.8
R57,B,4801,0.18,304,18.0,27.5,101.3
R18,A,2049,0.71,141,9.1,37.9,35.3
R47,D,4125,0.34,328,8.4,44.0,25.9
R49,A,4488,0.26,255,2.3,33.1,11.5
R14,B,2777,0.13,143,5.6,51.2,19.3
R15,E,3805,0.12,274,10.7,53.6,28.6
R31,E,3775,0.76,350,5.3,32.9,20.1
R1,E,4829,0.21,367,29.6,53.5,76.9
R54,D,1435,0.5,248,10.6,24.1,41.7
R3,C,4300,0.62,320,5.6,53.5,14.7
R16,C,674,0.46,283,7.6,26.1,21.6
R87,A,506,0.12,95,18.5,23.3,73.0
R57,D,1619,0.77,113,3.8,45.7,12.1
R75,E,1441,0.11,279,26.1,38.9,61.0
R12,E,4927,0.75,479,28.9,56.3,62.5
R74,B,2990,0.86,489,8.9,34.5,24.9
R96,B,3555,0.47,298,14.6,31.5,61.0
R16,E,389,0.56,295,2.6,40.0,4.4
R72,E,4408,0.51,477,19.9,38.2,60.1
R76,D,3320,0.43,124,13.6,33.8,88.8
R24,C,2157,0.85,206,9.6,47.7,24.7
R28,B,1104,0.86,272,7.8,50.4,13.1
R8,C,1244,0.39,239,20.3,54.1,34.2
R92,D,3089,0.62,101,13.7,58.9,56.6
R36,E,4175,0.89,487,7.0,30.7,25.4
R90,C,1910,0.92,137,21.3,48.6,63.0
R8,E,3223,0.53,362,17.8,35.8,56.4
R58,E,4182,0.48,388,26.0,47.1,68.8
R60,A,3521,0.34,115,5.3,39.0,33.1
R50,C,4691,0.92,199,24.0,59.8,80.8
R28,C,2687,0.22,69,20.9,49.2,124.7
R92,E,1241,0.59,82,5.2,58.1,13.5
R41,D,2866,0.34,377,21.5,53.4,42.5
R100,A,1275,0.34,330,14.4,56.1,21.4
R64,E,1254,0.44,95,28.5,52.6,75.4
R27,B,1562,0.95,122,6.0,38.4,21.4
R63,B,1243,0.15,403,20.0,30.1,52.2
R17,A,2502,0.59,362,12.7,34.8,37.0
R73,D,3627,0.17,392,28.8,20.8,159.9
R33,E,4574,0.23,182,11.2,41.0,57.6
R84,C,2559,0.47,104,28.9,40.2,149.3
R77,A,2128,0.53,110,27.2,41.0,116.8
R92,D,1557,0.32,394,9.6,59.0,13.6
R29,C,764,0.37,57,24.5,56.5,60.9
R13,B,3594,0.17,321,29.9,26.5,143.5
R46,B,1530,0.36,295,9.1,34.8,23.8
R35,C,2954,0.92,225,14.2,37.0,53.3
R6,A,1184,0.9,165,16.6,34.4,49.7
R82,B,4105,0.38,366,10.3,51.9,25.3
R69,E,4156,0.59,320,2.4,41.0,8.1
R47,C,3435,0.87,242,8.2,42.9,27.7
R25,C,1224,0.11,199,9.9,54.1,17.7
R66,B,4889,0.79,180,14.4,52.2,61.5
R10,A,1846,0.91,151,6.8,25.3,35.8
R56,E,1394,0.18,359,26.5,48.6,45.4
R30,A,2711,0.24,319,21.7,37.4,64.4
R5,D,2917,0.92,341,4.4,31.8,15.4
R33,D,1062,0.56,259,20.2,22.0,77.7
R65,B,2623,0.11,410,20.3,39.5,50.6
R18,B,4445,0.32,387,28.8,34.2,108.6
R96,B,3075,0.48,116,2.1,30.1,15.3
R49,D,4959,0.69,59,8.9,47.8,105.1
R11,A,3455,0.72,98,28.0,50.8,149.7
R85,A,4270,0.95,160,28.1,29.8,207.6
R26,B,2340,0.34,370,22.2,22.0,98.8
R63,E,883,0.56,268,23.4,54.0,34.6
R89,A,4631,0.55,106,4.6,20.4,72.6
R86,D,2403,0.44,332,16.4,57.5,29.5
R59,C,2242,0.24,162,8.5,45.1,27.0
R27,C,4755,0.93,182,7.1,32.9,46.8
R49,C,409,0.83,120,24.7,29.9,66.5
R77,E,491,0.52,132,5.8,20.4,23.4
R33,B,1203,0.61,106,15.1,29.4,65.8
R98,D,1161,0.29,425,28.3,25.5,84.8
R99,E,1383,0.56,398,7.2,44.5,13.1
R1,D,949,0.69,320,29.4,26.7,85.7
R21,D,4434,0.54,160,29.8,41.1,164.1
R55,B,3911,0.94,406,17.6,43.6,47.6
R6,C,936,0.62,424,6.8,31.9,15.6
R92,B,1336,0.42,125,10.9,21.4,63.2
R81,E,4431,0.76,207,13.9,21.5,121.8
R69,E,2448,0.24,69,10.7,21.1,138.4
R95,E,4165,0.43,470,9.9,49.6,22.6
R5,B,3457,0.39,180,29.2,32.7,156.5
R3,D,3887,0.47,378,6.3,51.9,14.8
R53,D,3594,0.76,171,22.5,37.3,112.3
R23,A,4561,0.51,90,2.0,38.1,19.1
R53,E,2730,0.77,216,18.7,40.5,62.7
R37,D,2179,0.59,459,27.6,48.5,50.4
R74,A,4266,0.39,179,10.1,30.9,66.4
R74,D,4013,0.79,72,7.2,24.9,114.0
R83,E,4426,0.3,328,20.2,42.2,67.5
R17,C,4406,0.29,300,22.0,33.1,98.4
R85,E,2311,0.53,449,21.3,37.7,51.3
R78,B,3673,0.32,58,10.9,45.9,104.5
R73,D,2443,0.11,62,9.1,39.8,67.8
R1,D,2800,0.65,461,28.8,44.8,62.0
R51,B,4881,0.53,460,27.9,41.8,82.5
R45,B,1589,0.48,356,14.8,49.6,25.9
R77,C,1747,0.92,369,25.7,48.2,47.1
R4,D,3499,0.59,101,14.7,41.4,95.1
R62,D,2243,0.83,258,13.9,47.2,33.0
R65,C,3483,0.22,87,6.4,54.9,35.0
R32,A,3516,0.58,149,13.9,37.3,75.1
R34,C,3436,0.84,242,17.0,36.5,67.6
R92,E,3618,0.6,451,2.6,50.6,5.6
R95,D,3082,0.71,240,14.4,43.3,45.6
R72,B,1290,0.42,100,23.9,22.8,144.0
R39,E,2453,0.18,442,21.0,55.7,35.2
R26,D,525,0.49,190,19.8,21.2,71.5
R34,C,1076,0.44,217,27.5,49.9,49.5
R54,E,3137,0.84,360,2.5,50.4,5.6
R3,D,987,0.31,158,17.6,58.1,29.5
R50,A,829,0.92,256,24.0,22.2,85.9
R12,A,3742,0.91,476,17.2,43.9,42.0
R65,B,2453,0.31,349,11.1,37.1,30.6
R54,D,1594,0.4,159,5.8,33.2,21.0
R5,A,1826,0.86,245,26.9,23.6,119.4
R94,C,3196,0.92,466,15.2,42.5,36.2
R94,D,3403,0.48,201,26.6,39.2,109.6
R57,C,2740,0.37,469,18.4,24.2,72.3
R17,C,4435,0.55,292,20.9,44.5,71.0
R47,A,4102,0.68,177,24.5,49.5,98.5
R23,D,1144,0.33,154,20.5,50.7,42.3
R79,E,746,0.73,59,13.1,56.2,31.7
R85,A,4215,0.14,405,16.4,36.4,55.2
R14,A,3409,0.14,197,24.5,58.1,69.1
R66,D,1534,0.43,414,12.5,54.6,18.8
R75,D,526,0.4,413,12.9,31.9,27.4
R51,C,4443,0.37,189,4.7,26.4,35.8
R38,D,3259,0.52,239,27.6,37.4,104.7
R64,C,2130,0.37,451,4.5,36.1,11.0
R98,A,4079,0.26,143,20.1,43.0,108.0
R38,B,486,0.36,278,13.6,43.3,22.1
R50,E,3177,0.93,112,13.4,50.0,61.7
R98,A,2835,0.45,389,21.0,40.4,53.9
R82,D,2232,0.48,74,3.9,24.2,38.8
R30,E,3224,0.59,317,18.6,54.3,41.5
R79,B,1148,0.94,454,23.6,32.4,54.8
R91,B,2332,0.31,330,25.2,58.9,43.8
R51,C,1552,0.68,60,6.8,24.7,59.2
R63,E,2181,0.71,369,27.1,58.3,44.4
R98,C,569,0.62,250,20.4,23.6,63.7
R52,A,1930,0.18,175,26.7,29.2,115.4
R38,E,4705,0.68,355,15.6,21.9,99.4
R97,A,3503,0.15,239,17.2,48.2,52.8
R88,C,1874,0.61,138,27.7,54.0,72.6
R79,E,3192,0.73,404,27.2,37.4,78.1
R30,C,1995,0.28,165,14.5,57.1,33.7
R51,E,3558,0.82,401,9.7,43.6,25.2
R81,C,3562,0.13,226,13.0,45.2,44.5
R5,B,1745,0.82,63,12.9,53.8,54.2
R29,C,519,0.49,306,10.0,31.9,22.0
R4,B,352,0.28,258,9.5,34.2,18.9
R10,C,2057,0.21,330,26.1,56.2,45.2
R56,E,1966,0.91,492,4.0,56.0,6.0
R17,E,3085,0.16,377,21.0,59.1,38.8
R74,E,1019,0.27,374,6.8,56.1,9.3
R17,D,705,0.4,438,11.6,25.1,32.2
R84,A,2594,0.63,154,3.7,52.9,11.3
R88,E,371,0.56,196,9.6,36.4,18.8
R69,B,2353,0.21,328,23.5,59.6,40.6
R34,E,1529,0.35,58,26.8,38.9,150.3
R6,D,1867,0.3,167,8.2,42.2,24.7
R53,B,3982,0.28,143,15.0,41.2,82.7
R66,D,3253,0.45,483,15.2,32.9,46.4
R77,B,4782,0.7,193,26.5,23.0,240.4
R43,C,998,0.28,338,23.4,55.8,32.6
R75,A,1126,0.41,435,16.4,52.1,23.8
R23,A,648,0.43,63,20.8,25.6,98.9
R55,D,4208,0.93,306,25.7,51.1,71.7
R80,A,607,0.91,395,2.3,45.0,3.5
R95,D,3716,0.78,235,13.3,36.4,56.6
R75,D,2634,0.31,394,27.4,30.2,90.8
R16,D,3109,0.16,449,22.7,54.4,42.4
R8,A,3858,0.37,256,17.2,48.0,53.9
R4,D,4778,0.33,395,16.8,41.9,53.2
R4,A,3777,0.53,480,11.7,44.4,28.3
R56,D,4920,0.76,221,16.6,23.6,136.2
R25,E,2986,0.83,319,20.4,39.0,60.8
R67,D,3285,0.82,270,13.7,27.7,65.8
R96,B,575,0.41,201,22.0,28.3,60.0
R67,D,2847,0.68,160,26.1,46.5,93.6
R27,C,3064,0.37,232,6.3,56.5,15.5
R93,D,636,0.15,448,14.6,36.2,27.6
R32,B,2273,0.7,388,13.4,28.3,45.1
R50,B,3279,0.11,121,21.2,45.9,102.8
R61,A,4876,0.45,467,9.0,54.8,20.1
R51,E,4268,0.38,435,19.9,49.9,47.4
R19,D,1210,0.69,332,26.6,54.8,39.7
R21,A,2296,0.75,123,13.7,41.5,56.8
R5,E,3429,0.36,404,27.5,50.1,60.9
R82,D,4504,0.79,264,29.8,25.6,189.0
R92,C,4057,0.35,377,5.0,33.9,18.4
R42,D,627,0.48,72,8.5,35.6,26.8
R61,B,2099,0.72,117,28.6,40.5,118.4
R22,B,614,0.69,447,28.8,57.2,34.4
R21,C,3845,0.94,496,4.7,55.0,9.1
R70,A,1434,0.29,422,2.4,25.4,7.6
R1,E,3046,0.66,411,6.5,26.9,25.2
R5,D,1820,0.62,142,29.9,34.3,119.3
R12,B,455,0.88,370,7.0,31.6,14.9
R90,A,2024,0.23,373,16.1,44.6,33.4
R46,C,3643,0.74,433,25.8,56.1,50.8
R34,B,1186,0.58,112,2.6,58.5,5.5
R49,C,3373,0.33,273,18.9,46.1,55.0
R78,D,3105,0.5,274,9.8,53.5,23.4
R90,E,1021,0.38,418,26.1,41.0,47.5
R45,B,1212,0.59,395,9.9,28.3,27.4
R27,B,3657,0.86,386,21.2,41.0,60.4
R73,D,1170,0.58,152,20.9,42.2,52.6
R26,A,4408,0.64,264,8.2,49.7,26.4
R47,E,797,0.54,241,3.0,28.8,8.3
R86,B,2056,0.14,209,13.5,34.7,46.3
R56,E,1417,0.3,421,10.1,34.6,23.4
R94,B,3709,0.52,256,24.7,58.4,62.1
R63,E,3128,0.36,318,24.4,37.8,76.8
R48,C,1947,0.25,243,14.8,50.2,31.9
R61,B,3283,0.53,429,19.0,50.0,40.2
R81,E,442,0.37,452,18.9,30.6,40.7
R26,A,3061,0.32,201,25.2,42.9,88.9
R36,C,3735,0.49,286,13.9,55.8,34.5
R1,C,4960,0.21,137,9.7,39.0,69.0
R8,A,2731,0.89,60,9.4,57.8,54.2
R99,E,4812,0.84,236,17.0,28.6,108.4
R52,D,2148,0.7,263,14.6,23.0,69.2
R79,A,2996,0.19,64,14.3,55.7,87.5
R47,E,2017,0.76,315,4.6,53.9,8.4
R56,A,3372,0.79,346,22.1,59.7,43.9
R86,A,1367,0.75,460,8.0,47.2,13.2
R14,B,3086,0.2,493,7.5,57.5,12.7
R90,E,4091,0.65,122,13.6,53.1,66.9
R28,D,1588,0.81,101,8.4,53.8,24.1
R87,B,4171,0.59,177,18.3,42.8,86.1
R78,A,2106,0.65,77,12.4,35.3,78.7
R88,A,1804,0.49,114,14.6,57.4,39.4
R2,A,3608,0.55,66,17.0,37.3,176.8
R26,E,3251,0.13,400,7.7,41.6,20.1
R14,E,371,0.64,477,6.4,37.8,10.9
R59,B,1990,0.17,187,26.7,42.6,77.6
R56,D,1644,0.47,368,14.1,38.8,31.5
R7,B,3603,0.35,278,13.5,21.9,84.9
R3,C,3413,0.56,303,3.0,55.3,6.9
R23,A,1182,0.21,259,15.9,37.8,36.8
R18,A,4534,0.69,480,17.5,43.6,46.8
R38,A,2962,0.78,343,17.6,25.6,76.9
R99,B,1804,0.24,280,21.8,20.1,107.0
R15,B,2763,0.19,290,7.0,29.8,27.5
R64,A,2853,0.22,119,9.1,48.2,38.5
R89,B,1032,0.85,153,24.7,24.0,103.4
R28,E,2048,0.55,253,28.5,56.4,54.9
R74,E,4224,0.5,102,5.8,28.6,62.6
R39,B,723,0.19,477,15.9,28.2,39.0
R57,A,3778,0.65,424,8.0,27.3,33.2
R17,B,1891,0.84,379,3.7,20.6,16.2
R86,B,4785,0.8,103,11.1,50.9,73.9
R90,B,4737,0.63,325,6.0,55.0,16.1
R44,C,792,0.16,384,21.9,44.6,35.5
R25,E,491,0.2,80,16.9,27.5,59.5
R17,D,798,0.14,184,6.0,31.4,16.4
R13,D,1556,0.32,107,2.3,39.0,8.7
R84,C,2268,0.22,154,24.6,58.2,62.7
R25,B,4622,0.32,315,6.9,29.9,34.2
R68,C,2486,0.43,59,19.0,49.3,120.6
R10,C,1116,0.9,302,11.4,37.6,24.9
R67,A,3520,0.62,344,18.4,31.9,70.0
R18,E,1773,0.81,205,10.8,38.2,31.6
R100,D,1386,0.7,207,4.4,22.8,19.3
R86,B,4499,0.2,86,8.2,51.9,59.1
R34,D,2174,0.73,168,7.3,29.7,33.8
R8,D,1170,0.33,116,14.0,49.0,34.4
R40,E,2342,0.64,291,20.4,22.7,97.3
R83,D,572,0.39,348,9.4,58.2,11.3
R42,D,1329,0.95,262,2.3,27.7,7.5
R41,C,3518,0.32,357,16.5,55.3,35.5
R6,E,4369,0.34,150,19.0,52.4,85.1
R52,A,1351,0.89,105,29.0,58.7,67.8
R26,B,4333,0.12,381,18.5,39.1,60.7
R64,D,1873,0.69,373,15.2,49.1,27.9
R98,B,3490,0.72,288,18.1,34.8,69.0
R59,A,4688,0.81,442,28.0,27.4,126.3
R56,B,4097,0.93,280,25.2,37.7,98.8
R59,A,3589,0.93,411,11.0,26.6,46.5
R70,C,4047,0.16,430,8.6,59.3,16.9
R33,D,2405,0.8,141,9.4,23.8,64.1
R53,A,607,0.65,328,16.1,43.6,26.3
R22,B,3659,0.65,496,22.8,45.1,52.7
R21,D,3476,0.21,158,16.1,41.5,74.5
R70,C,1551,0.65,366,3.9,46.5,7.2
R70,D,3047,0.94,217,22.3,24.6,130.8
R4,A,1817,0.88,349,24.6,42.2,53.2
R94,C,1678,0.47,457,10.1,31.5,26.3
R75,B,2261,0.13,484,20.6,57.6,31.5
R62,C,4605,0.41,491,13.9,50.5,32.0
R62,C,3163,0.8,267,26.9,58.9,59.9
R94,E,2956,0.7,271,25.7,21.5,150.0
R95,C,2794,0.49,210,16.7,31.4,74.4
R24,C,4867,0.15,65,21.4,27.8,392.0
R55,D,4305,0.46,327,26.7,20.4,181.9
R9,B,3863,0.5,106,15.9,29.7,149.2
R3,D,1222,0.89,111,10.8,47.2,28.8
R31,D,4532,0.64,412,23.1,29.2,99.7
R40,A,4762,0.36,376,8.2,40.4,27.6
R36,D,3259,0.55,291,12.9,55.5,29.6
R24,E,483,0.16,139,26.2,47.8,44.3
R95,E,3658,0.93,121,22.3,35.8,150.4
R6,A,1698,0.41,375,13.3,34.9,33.2
R66,B,3096,0.51,79,8.0,38.2,61.8
R84,B,836,0.4,408,12.0,27.1,32.0
R92,D,1573,0.68,456,10.0,45.4,17.8
R75,D,3267,0.66,337,6.9,34.6,23.6
R4,D,3349,0.71,135,22.8,54.1,88.0
R79,B,1396,0.33,283,9.1,50.3,16.2
R6,C,1605,0.37,284,14.7,44.4,31.1
R94,E,1215,0.21,362,12.8,34.6,29.6
R51,C,3381,0.66,414,29.5,28.4,113.2
R62,C,4547,0.13,314,13.0,51.0,37.4
R57,B,1328,0.61,336,4.2,39.5,8.9
R66,C,2277,0.84,376,4.5,29.0,14.9
R79,A,3654,0.86,442,18.5,27.8,72.9
R75,D,2811,0.48,318,18.8,26.6,79.9
R8,A,570,0.49,235,13.7,51.1,20.0
R26,E,1486,0.17,180,14.1,29.2,52.9
R51,D,4855,0.67,340,3.5,41.1,12.4
R45,C,4500,0.8,326,16.5,38.1,61.9
R44,E,4064,0.31,369,16.1,43.2,47.0
R5,D,2698,0.46,400,6.2,55.1,11.3
R70,C,4829,0.81,229,4.9,54.7,16.7
R26,A,4535,0.85,339,5.5,38.0,20.3
R68,D,4482,0.31,426,4.8,20.6,28.7
R19,C,2011,0.57,212,19.1,37.1,60.2
R84,A,2530,0.26,320,7.5,44.2,18.2
R97,E,428,0.19,425,9.0,42.3,14.1
R20,E,1569,0.87,145,6.9,46.1,18.7
R12,E,3972,0.8,311,28.8,26.2,150.2
R47,E,1901,0.75,414,25.9,45.9,49.4
R1,B,4270,0.14,402,8.5,27.3,38.5
R90,D,4544,0.82,337,11.2,50.0,31.6
R14,D,927,0.47,485,7.9,33.6,16.8
R64,B,4097,0.39,132,15.8,48.4,80.4
R38,C,2344,0.56,274,2.5,21.9,12.7
R37,C,3852,0.18,461,20.8,36.3,63.1
R11,E,2641,0.74,272,16.6,48.2,40.7
R100,A,3514,0.6,167,27.2,29.1,174.1
R77,C,549,0.26,241,6.6,51.8,9.4
R3,A,3225,0.26,128,24.5,45.2,114.5
